ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Genre
590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,http://images.amazon.com/images/P/0590353403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590353403.01.LZZZZZZZ.jpg,Fantasy
439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg,Fantasy
439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439136350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg,Fantasy
439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg,Fantasy
439567610,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,http://images.amazon.com/images/P/0439567610.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439567610.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439567610.01.LZZZZZZZ.jpg,Fantasy
345339711,The Two Towers (The Lord of the Rings),J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339711.01.LZZZZZZZ.jpg,Fantasy
345339703,The Fellowship of the Ring (The Lord of the Rings),J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339703.01.LZZZZZZZ.jpg,Fantasy
345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339681.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg,Fantasy
345340426,The Hobbit and The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345340426.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345340426.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345340426.01.LZZZZZZZ.jpg,Fantasy
1552041778,Jane Doe,R. J. Kaiser,1999,Mira Books,http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,Mystry
771074670,Nights Below Station Street,David Adams Richards,1988,Emblem Editions,http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,Novel
399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,Novel
1551666146,Glamour Puss (Mira),R. J. Kaiser,2000,Mira Books,http://images.amazon.com/images/P/1551666146.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551666146.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551666146.01.LZZZZZZZ.jpg,Romance
1551669366,Squeeze Play: A Novel,R. J. Kaiser,2002,Mira Books,http://images.amazon.com/images/P/1551669366.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551669366.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551669366.01.LZZZZZZZ.jpg,Novel
1552042065,Fruitcake (Mira (Audio)),R. J. Kaiser,2000,Mira Books,http://images.amazon.com/images/P/1552042065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552042065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552042065.01.LZZZZZZZ.jpg,Mystry
743448189,Mercy Among the Children : A Novel,David Adams Richards,2002,Washington Square Press,http://images.amazon.com/images/P/0743448189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743448189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743448189.01.LZZZZZZZ.jpg,Novel
1559706341,Lines on the Water: A Fly-Fisherman's Life on the Miramichi,David Adams Richards,2002,Arcade Publishing,http://images.amazon.com/images/P/1559706341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1559706341.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1559706341.01.LZZZZZZZ.jpg,Non-Fiction
771098863,Lives of Short Duration (New Canadian Library),David Adams Richards,1995,New Canadian Library,http://images.amazon.com/images/P/0771098863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771098863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771098863.01.LZZZZZZZ.jpg,Novel
1559706503,The Bay of Love and Sorrows,David Adams Richards,2003,Arcade Publishing,http://images.amazon.com/images/P/1559706503.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1559706503.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1559706503.01.LZZZZZZZ.jpg,Novel
804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,Romance 
399146431,The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group,http://images.amazon.com/images/P/0399146431.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399146431.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399146431.01.LZZZZZZZ.jpg,Novel
399141146,The Hundred Secret Senses,Amy Tan,1995,Putnam Pub Group,http://images.amazon.com/images/P/0399141146.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399141146.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399141146.01.LZZZZZZZ.jpg,Romance
399150749,The Opposite of Fate: A Book of Musings,Amy Tan,2003,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399150749.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399150749.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399150749.01.LZZZZZZZ.jpg,Non-Fiction
27888304,The Moon Lady,Amy Tan,1992,Simon &amp; Schuster Children's Publishing,http://images.amazon.com/images/P/0027888304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0027888304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0027888304.01.LZZZZZZZ.jpg,Children
